ID_Anuncio,Marca,Modelo,Versao,Ano_Fabricacao,Ano_Modelo,Quilometragem,Cambio,Carroceria,Preco_Real,Percentual_FIPE,Estado
66524378,TOYOTA,COROLLA,2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2020,2021.0,78000.0,CVT,Sedã,128890.0,99.0,São Paulo (SP)
67444377,TOYOTA,COROLLA,2.0 VVT-IE FLEX GR-S DIRECT SHIFT,2023,2023.0,27000.0,CVT,Sedã,189890.0,137.0,São Paulo (SP)
68729608,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022.0,28756.0,Automática,Sedã,126900.0,103.0,São Paulo (SP)
68852222,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022.0,45000.0,Automática,Sedã,129990.0,106.0,São Paulo (SP)
67944281,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2026,2026.0,0.0,Automática,Sedã,173610.0,106.0,São Paulo (SP)
65815191,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2026,2026.0,0.0,CVT,Sedã,177010.0,108.0,São Paulo (SP)
65815274,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2026,2026.0,0.0,CVT,Sedã,177010.0,108.0,São Paulo (SP)
65815028,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2026,2026.0,0.0,CVT,Sedã,177010.0,108.0,São Paulo (SP)
66633382,TOYOTA,COROLLA,1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2026,2026.0,0.0,CVT,Sedã,209010.0,111.0,São Paulo (SP)
66633220,TOYOTA,COROLLA,1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2026,2026.0,0.0,CVT,Sedã,209010.0,111.0,São Paulo (SP)
65814881,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2026,2026.0,0.0,CVT,Sedã,177010.0,108.0,São Paulo (SP)
69239467,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2026,2026.0,0.0,Automática,Sedã,275000.0,167.0,São Paulo (SP)
69258587,TOYOTA,COROLLA,2.0 XEI 16V FLEX 4P AUTOMÁTICO,2018,2019.0,103803.0,Automática,Sedã,104900.0,102.0,São Paulo (SP)
68395159,TOYOTA,COROLLA,2.0 ALTIS 16V FLEX 4P AUTOMÁTICO,2012,2013.0,75575.0,Automática,Sedã,75900.0,112.0,São Paulo (SP)
68950999,TOYOTA,COROLLA,2.0 XEI 16V FLEX 4P AUTOMÁTICO,2014,2015.0,98000.0,Automática,Sedã,82590.0,101.0,São Paulo (SP)
67962401,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2025,2025.0,14990.0,Automática,Sedã,144990.0,100.0,São Paulo (SP)
64779890,TOYOTA,COROLLA,2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2022,2023.0,47858.0,Automática,Sedã,149890.0,105.0,São Paulo (SP)
69517549,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,84145.0,Automática,Sedã,116590.0,91.0,São Paulo (SP)
65162704,TOYOTA,COROLLA,1.8 VVT-I HYBRID FLEX ALTIS CVT,2022,2023.0,8402.0,Automática,Sedã,165590.0,116.0,São Paulo (SP)
68350856,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2021,2021.0,63995.0,Automática,Sedã,134990.0,122.0,São Paulo (SP)
67949700,TOYOTA,COROLLA,2.0 XEI 16V FLEX 4P AUTOMÁTICO,2014,2015.0,61147.0,Automática,Sedã,89900.0,110.0,São Paulo (SP)
61635808,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,57190.0,Automática,Sedã,135590.0,106.0,São Paulo (SP)
66846832,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2025,2025.0,14319.0,Automática,Sedã,141900.0,98.0,São Paulo (SP)
66906422,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2024,2024.0,14358.0,Automática,Sedã,133600.0,106.0,São Paulo (SP)
68984555,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,48127.0,Automática,Sedã,129900.0,102.0,São Paulo (SP)
67456133,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2019,2020.0,58800.0,Automática,Sedã,125900.0,117.0,São Paulo (SP)
66959913,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2024,2024.0,46514.0,Automática,Sedã,131100.0,104.0,São Paulo (SP)
65809174,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2026,2026.0,0.0,CVT,Sedã,177010.0,108.0,São Paulo (SP)
65809263,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2026,2026.0,0.0,CVT,Sedã,177010.0,108.0,São Paulo (SP)
66631159,TOYOTA,COROLLA,1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2026,2026.0,0.0,CVT,Sedã,209010.0,111.0,São Paulo (SP)
