Versao,Ano_Fabricacao,Ano_Modelo,Quilometragem,Cambio,Preco_Real,Percentual_FIPE
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,13102,Automático,139890.0,110.0
1.8 VVT-I HYBRID FLEX ALTIS CVT,2020,2021,124000,Automático,121900.0,96.0
2.0 VVT-IE FLEX GR-S DIRECT SHIFT,2023,2023,41000,Automático,144890.0,105.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022,60300,Automático,124990.0,102.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,36793,Automático,133900.0,105.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2010,2011,180000,Automático,65000.0,111.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,55300,Automático,124900.0,98.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2019,2020,117845,Automático,114900.0,99.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2018,2018,132382,Automático,104990.0,105.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2020,2020,77000,Automático,119900.0,103.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,18048,Automático,142590.0,112.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,30061,Automático,142900.0,112.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2012,2013,180000,Automático,68900.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,23153,Automático,147990.0,104.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2026,2026,738,Automático,198900.0,106.0
2.0 ALTIS 16V FLEX 4P AUTOMÁTICO,2017,2018,143399,Automático,104900.0,102.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,63882,Automático,137300.0,96.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2019,2019,119485,Automático,111790.0,109.0
1.8 VVT-I HYBRID FLEX ALTIS CVT,2022,2023,72627,Automático,139900.0,98.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2025,2025,0,Automático,171990.0,108.0
2.0 XRS 16V FLEX 4P AUTOMÁTICO,2017,2018,108461,Automático,110000.0,111.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2025,2025,43000,Automático,143900.0,100.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,57000,Automático,133090.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022,95189,Automático,130000.0,106.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,61000,Automático,127900.0,100.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,48631,Automático,139190.0,109.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2020,2021,54256,Automático,124990.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,60339,Automático,129990.0,102.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022,113900,Automático,159990.0,130.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2016,2017,205557,Automático,81990.0,93.0
1.8 VVT-I HYBRID FLEX ALTIS CVT,2023,2023,57607,Automático,156590.0,110.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,77071,Automático,133790.0,105.0
2.0 VVT-IE FLEX GR-S DIRECT SHIFT,2023,2024,45000,Automático,165900.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,83885,Automático,139290.0,98.0
2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2023,2023,55000,Automático,149900.0,105.0
2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2021,2022,53749,Automático,169990.0,125.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,97240,Automático,127790.0,100.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,97240,Automático,127790.0,100.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,91000,Automático,136500.0,96.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2019,2020,106000,Automático,139000.0,119.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2024,79000,Automático,138900.0,97.0
1.8 GLI 16V FLEX 4P AUTOMÁTICO,2016,2016,116468,Automático,87990.0,112.0
2.0 ALTIS 16V FLEX 4P AUTOMÁTICO,2013,2014,175000,Automático,78900.0,110.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2024,54000,Automático,189000.0,132.0
1.8 VVT-I HYBRID FLEX ALTIS CVT,2022,2023,69613,Automático,149900.0,105.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2016,2017,124000,Automático,97900.0,111.0
1.8 GLI 16V FLEX 4P AUTOMÁTICO,2013,2014,153505,Automático,67800.0,104.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2023,2024,33359,Automático,124880.0,99.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,22365,Automático,141290.0,111.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,96841,Automático,130990.0,103.0
1.8 VVT-I HYBRID FLEX ALTIS CVT,2021,2022,91607,Automático,156690.0,118.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2025,2025,6163,Automático,165390.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,97188,Automático,130990.0,103.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,54397,Automático,133090.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,97188,Automático,130990.0,103.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,27065,Automático,143790.0,113.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,97291,Automático,130990.0,103.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,27065,Automático,143790.0,113.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,27065,Automático,143790.0,113.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,54397,Automático,133090.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,61886,Automático,133990.0,105.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,88524,Automático,132390.0,104.0
2.0 ALTIS 16V FLEX 4P AUTOMÁTICO,2016,2017,109900,Automático,89990.0,100.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,97291,Automático,130990.0,103.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,54397,Automático,133090.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,88524,Automático,132390.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,77071,Automático,133090.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,99850,Automático,134990.0,95.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,77071,Automático,133090.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,96841,Automático,130990.0,103.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,97188,Automático,130990.0,103.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,46510,Automático,136090.0,107.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,97188,Automático,130990.0,103.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,77071,Automático,133090.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,88524,Automático,132390.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2025,2025,6163,Automático,165390.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,97291,Automático,130990.0,103.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,97291,Automático,130990.0,103.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2025,2025,9800,Automático,189990.0,106.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,25000,Automático,155900.0,109.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2023,2023,21000,Automático,129900.0,110.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2025,2025,15000,Automático,189900.0,106.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2013,2014,107000,Automático,83900.0,120.0
1.8 GLI UPPER 16V FLEX 4P AUTOMÁTICO,2018,2018,108000,Automático,103900.0,121.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2020,2021,78000,Automático,109800.0,99.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2025,2025,9213,Automático,160990.0,101.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2016,2017,112000,Automático,89890.0,102.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,45000,Automático,143890.0,101.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2014,2015,129320,Automático,82900.0,101.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,28600,Automático,129800.0,102.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2019,2020,56000,Automático,121990.0,105.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2024,2024,19084,Automático,166900.0,133.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2019,2020,71620,Automático,108700.0,101.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2019,2020,53000,Automático,119990.0,103.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,35611,Automático,129899.0,102.0
2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2020,2021,87733,Automático,129900.0,100.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022,52481,Automático,125000.0,102.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2019,2020,72000,Automático,120990.0,104.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2019,2019,81216,Automático,104990.0,102.0
2.0 VVT-IE FLEX ALTIS PREMIUM DIRECT SHIFT,2025,2025,26500,Automático,177990.0,101.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2018,2019,82827,Automático,107890.0,105.0
2.0 ALTIS 16V FLEX 4P AUTOMÁTICO,2012,2013,192000,Automático,75900.0,112.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2024,68927,Automático,139990.0,98.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2024,2024,5800,Automático,174990.0,106.0
2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2024,2024,40000,Automático,163990.0,100.0
2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2022,2023,62331,Automático,142800.0,100.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2025,2025,9000,Automático,161890.0,102.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022,35821,Automático,129790.0,106.0
1.8 VVT-I HYBRID FLEX ALTIS CVT,2022,2023,40064,Automático,148990.0,105.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2019,2020,93050,Automático,139700.0,111.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2015,2016,112204,Automático,93990.0,111.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,63882,Automático,137300.0,96.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2012,2013,95260,Automático,73900.0,111.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2018,2018,145000,Automático,101990.0,102.0
1.8 GLI 16V FLEX 4P AUTOMÁTICO,2017,2018,119000,Automático,85900.0,101.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2020,2021,65504,Automático,125790.0,105.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,18263,Automático,149990.0,105.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2023,2024,49947,Automático,121900.0,97.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2014,2015,89650,Automático,94790.0,116.0
2.0 VVT-IE FLEX GR-S DIRECT SHIFT,2025,2025,30154,Automático,176900.0,101.0
1.8 GLI 16V FLEX 4P AUTOMÁTICO,2016,2017,139703,Automático,83990.0,103.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2020,2021,87000,Automático,168890.0,130.0
2.0 VVT-IE FLEX GR-S DIRECT SHIFT,2024,2024,46000,Automático,159980.0,100.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2025,2025,18227,Automático,154790.0,107.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022,122000,Automático,123900.0,101.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2024,2024,42792,Automático,130500.0,104.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2026,2026,0,Automático,209010.0,111.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,29800,Automático,136990.0,107.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,24545,Automático,143990.0,101.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2020,2021,81000,Automático,121790.0,102.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,84145,Automático,116590.0,91.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,49000,Automático,169890.0,133.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022,33640,Automático,128990.0,105.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2019,2019,129485,Automático,111790.0,109.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2024,45174,Automático,185900.0,130.0
2.0 VVT-IE FLEX GR-S DIRECT SHIFT,2022,2023,57000,Automático,137990.0,100.0
1.8 GLI 16V FLEX 4P AUTOMÁTICO,2017,2018,93027,Automático,90990.0,107.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2018,2018,97000,Automático,110990.0,111.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,97333,Automático,129990.0,102.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2024,2024,38902,Automático,127300.0,101.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,89345,Automático,125500.0,98.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2024,79000,Automático,143700.0,101.0
2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2023,2023,76660,Automático,155990.0,109.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2026,2026,0,Automático,177010.0,108.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2011,2012,169320,Automático,64700.0,102.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,54179,Automático,149300.0,105.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2023,2024,25268,Automático,168900.0,102.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2016,2017,87925,Automático,94900.0,108.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2024,46000,Automático,143990.0,101.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2024,46000,Automático,143990.0,101.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,53181,Automático,142200.0,100.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,54848,Automático,142200.0,100.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022,57711,Automático,127990.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2024,57935,Automático,141000.0,99.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2025,2025,11063,Automático,164990.0,103.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2024,46000,Automático,143990.0,101.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,37820,Automático,145800.0,102.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022,98322,Automático,124990.0,102.0
